iter	Passed	Remaining
457	817	967
458	818	965
459	819	962
460	820	959
461	821	957
462	822	954
463	824	952
464	825	950
465	827	947
466	828	945
467	829	942
468	830	939
469	831	937
470	832	934
471	833	932
472	834	929
473	835	926
474	836	924
475	837	921
476	839	919
477	840	917
478	841	915
479	842	912
480	843	910
481	844	907
482	845	905
483	846	902
484	847	900
485	848	897
486	849	895
487	850	892
488	851	890
489	853	888
490	854	885
491	856	884
492	857	881
493	858	879
494	859	876
495	860	874
496	861	871
497	862	869
498	863	866
499	864	864
500	865	862
501	867	860
502	868	858
503	870	856
504	871	854
505	872	852
506	874	849
507	875	847
508	876	845
509	877	843
510	879	841
511	880	839
512	881	837
513	883	834
514	884	833
515	886	831
516	887	829
517	888	826
518	889	824
519	890	822
520	891	819
521	892	817
522	893	815
523	894	813
524	896	810
525	897	808
526	898	806
527	900	805
528	902	803
529	903	801
530	904	799
531	905	797
532	907	794
533	908	792
534	909	790
535	910	788
536	911	785
537	912	783
538	914	781
539	915	780
540	916	777
541	917	775
542	919	773
543	920	771
544	921	769
545	922	766
546	923	764
547	924	762
548	925	760
549	927	758
550	928	756
551	930	755
552	931	753
553	932	751
554	934	748
555	935	746
556	936	744
557	937	742
558	938	740
559	940	738
560	941	736
561	943	735
562	945	733
563	946	732
564	948	730
565	949	728
566	951	726
567	952	724
568	953	722
569	955	720
570	956	718
571	958	717
572	960	715
573	962	714
574	964	712
575	966	711
576	968	709
577	969	708
578	971	706
579	975	706
580	977	704
581	978	702
582	980	700
583	981	699
584	983	697
585	984	695
586	986	693
587	988	692
588	990	691
589	991	689
590	993	687
591	995	685
592	996	683
593	997	681
594	998	679
595	1000	677
596	1001	676
597	1002	674
598	1004	672
599	1006	670
600	1007	668
601	1008	666
602	1009	664
603	1011	662
604	1012	661
605	1013	659
606	1015	657
607	1016	655
608	1017	653
609	1019	651
610	1020	650
611	1022	648
612	1023	646
613	1024	644
614	1026	642
615	1027	640
616	1028	638
617	1030	637
618	1032	635
619	1034	634
620	1036	632
621	1037	630
622	1038	628
623	1039	626
624	1041	624
625	1042	622
626	1044	621
627	1045	619
628	1047	617
629	1049	616
630	1050	614
631	1051	612
632	1053	610
633	1054	608
634	1055	606
635	1057	604
636	1058	602
637	1059	601
638	1060	599
639	1062	597
640	1063	595
641	1065	594
642	1067	592
643	1068	590
644	1070	589
645	1071	587
646	1072	585
647	1074	583
648	1075	581
649	1077	580
650	1078	578
651	1080	576
652	1081	574
653	1082	572
654	1084	570
655	1085	569
656	1086	567
657	1087	565
658	1088	563
659	1089	561
660	1090	559
661	1091	557
662	1093	555
663	1094	554
664	1095	552
665	1097	550
666	1098	548
667	1099	546
668	1100	544
669	1101	542
670	1102	540
671	1103	538
672	1104	536
673	1105	534
674	1107	533
675	1108	531
676	1109	529
677	1110	527
678	1111	525
679	1112	523
680	1113	521
681	1114	519
682	1115	517
683	1116	515
684	1118	514
685	1119	512
686	1120	510
687	1121	508
688	1123	506
689	1124	505
690	1125	503
691	1126	501
692	1127	499
693	1128	497
694	1129	495
695	1130	493
